|G01652S.TAAS3-1|TAAS3-1|E||M0804|int. term 3x20A, iC60N 20/10kA-230/400V|iC60N|SCHNEIDER|A9F74320| 88.74| 15.00|UND|1331.10|
|G01652S.TAAS3-1|TAAS3-1|E||M0945|contactor de 3x25A Ac-3 (40A Ac-1),TeSys D|TeSys D|SCHNEIDER|LC1D25M7|139.20|  8.00|UND|1113.60|
|G01652S.TAAS3-1|TAAS3-1|E||M1135|Pulsador no luminoso IP65 XB7  ROJO NC||SCHNEIDER|XB7NA42|  9.92|  8.00|UND| 79.34|
|G01652S.TAAS3-1|TAAS3-1|E||M1136|Pulsador no luminoso IP65 XB7 VERDE NA||SCHNEIDER|XB7NA31|  9.92|  8.00|UND| 79.34|
|G01652S.TAAS3-1|TAAS3-1|E||M0862|interruptor Horario Digital, Schneider|IPH|SCHNEIDER|CCT15854|265.06|  8.00|UND|2120.48|
|G01652S.TAAS3-1|TAAS3-1|E||M1143|bornera de paso 6mm||SCHNEIDER|NSYTRV62|  2.26| 60.00|UND|135.72|
|G01652S.TAAS3-1|TAAS3-1|M||2303410138BLBL|CABLE NH-80 1.5MM2.750VCA. NO HALOG.  BLANCO|NH-80|INDECO||  0.61|311.20|MT|189.83|
|G01652S.TAAS3-1|TAAS3-1|M||1SNK508410R0000|Bornera portafusible ZS4-SF1|ZS4-SF1|ABB|1SNK508410R0000|  3.97| 59.00|UND|234.05|
|G01652S.TAAS3-1|TAAS3-1|M||1SNK505010R0000|Bornera paso color gris 4 mm2 32A ZS4|ZS4|ABB|1SNK505010R0000|  1.92| 43.00|UND| 82.65|
|G01652S.TAAS3-1|TAAS3-1|M||23440002|FUSIBLE 2A||||  0.42| 17.00|UND|  7.05|
|G01652S.TAAS3-1|TAAS3-1|M||2373210150RORO|TERMINAL MANGUITO DE 1.5 MM2  ROJO||||  0.03|296.00|UND|  7.40|
|G01652S.TAAS3-1|TAAS3-1|M||23520|MARCADOR DE CABLE 0||||  3.76|  2.34|CAJ|  8.79|
|G01652S.TAAS3-1|TAAS3-1|M||23521|MARCADOR DE CABLE 1||||  4.48|  2.34|CAJ| 10.49|
|G01652S.TAAS3-1|TAAS3-1|M||23522|MARCADOR DE CABLE 2||||  5.88|  2.34|CAJ| 13.75|
|G01652S.TAAS3-1|TAAS3-1|M||23523|MARCADOR DE CABLE 3||||  4.80|  2.34|CAJ| 11.24|
|G01652S.TAAS3-1|TAAS3-1|M||23524|MARCADOR DE CABLE 4||||  4.63|  1.78|CAJ|  8.24|
|G01652S.TAAS3-1|TAAS3-1|M||23525|MARCADOR DE CABLE 5||||  4.04|  1.78|CAJ|  7.19|
|G01652S.TAAS3-1|TAAS3-1|M||23526|MARCADOR DE CABLE 6||||  3.99|  1.78|CAJ|  7.11|
|G01652S.TAAS3-1|TAAS3-1|M||23527|MARCADOR DE CABLE 7||||  3.97|  1.78|CAJ|  7.07|
|G01652S.TAAS3-1|TAAS3-1|M||23528|MARCADOR DE CABLE 8||||  3.91|  1.78|CAJ|  6.96|
|G01652S.TAAS3-1|TAAS3-1|M||23529|MARCADOR DE CABLE 9||||  3.81|  1.78|CAJ|  6.79|
|G01652S.TAAS3-1|TAAS3-1|M||2352R|MARCADOR DE CABLE R||||  4.12|  2.34|CAJ|  9.64|
|G01652S.TAAS3-1|TAAS3-1|M||2352S|MARCADOR DE CABLE S||||  4.45|  2.34|CAJ| 10.42|
|G01652S.TAAS3-1|TAAS3-1|M||2352T|MARCADOR DE CABLE T||||  4.12|  2.34|CAJ|  9.64|
|G01652S.TAAS3-1|TAAS3-1|M||2352N|MARCADOR DE CABLE N||||  4.25|  2.34|CAJ|  9.93|
|G01652S.TAAS3-1|TAAS3-1|M||2333CV100|CINTILLO CV-100||TECNOLOGIA||  1.16|  4.80|BOL|  5.54|
